ward_code,hour,base_risk_score,time_multiplier,risk_score,risk_score_noisy
A,0,0.43663215149939183,0.9980769230769232,0.43579247428497,0.450693898875307
A,1,0.43663215149939183,0.9865384615384616,0.4307544109984385,0.4266064819633029
A,2,0.43663215149939183,0.8846153846153846,0.38625151863407736,0.4056821747770981
A,3,0.43663215149939183,0.7692307692307692,0.3358708857687629,0.38156178146100367
A,4,0.43663215149939183,0.6230769230769231,0.272055417472698,0.26503081623099795
A,5,0.43663215149939183,0.6346153846153846,0.2770934807592294,0.270069372050754
A,6,0.43663215149939183,0.6884615384615383,0.30060444276304277,0.3479808272282645
A,7,0.43663215149939183,0.8076923076923076,0.35266443005720105,0.3756874719317883
A,8,0.43663215149939183,0.8653846153846153,0.3778547464898583,0.36377051491180973
A,9,0.43663215149939183,1.0576923076923077,0.46182246793204906,0.478099269239628
A,10,0.43663215149939183,1.2038461538461538,0.5256379362281139,0.5117354054437401
A,11,0.43663215149939183,1.3307692307692307,0.5810566323799599,0.5670847397728521
A,12,0.43663215149939183,1.196153846153846,0.5222792273704263,0.5295380955174074
A,13,0.43663215149939183,1.1076923076923075,0.48365407550701855,0.4262556681672846
A,14,0.43663215149939183,1.0269230769230768,0.4483876325012985,0.3966400975259075
A,15,0.43663215149939183,0.9807692307692308,0.4282353793551728,0.4113667534779436
A,16,0.43663215149939183,1.0692307692307692,0.4668605312185805,0.4364755976085478
A,17,0.43663215149939183,1.1115384615384614,0.48533342993586237,0.4947608499137206
A,18,0.43663215149939183,1.1692307692307693,0.5105237463685197,0.4832830241028834
A,19,0.43663215149939183,1.1230769230769229,0.4903714932223938,0.44800238218233507
A,20,0.43663215149939183,1.1423076923076922,0.49876826536661295,0.5427377284342596
A,21,0.43663215149939183,1.1230769230769229,0.4903714932223938,0.48359820420779775
A,22,0.43663215149939183,1.1115384615384614,0.48533342993586237,0.4873592760765001
A,23,0.43663215149939183,1.0038461538461538,0.43831150592823565,0.3955690603418319
B,0,0.6209866504510233,0.9980769230769232,0.6197924453540021,0.6034609636182466
B,1,0.6209866504510233,0.9865384615384616,0.612627214771875,0.6159548924631709
B,2,0.6209866504510233,0.8846153846153846,0.5493343446297514,0.5148045373070823
B,3,0.6209866504510233,0.7692307692307692,0.4776820388084794,0.48895297935884957
B,4,0.6209866504510233,0.6230769230769231,0.38692245143486836,0.3689032907373042
B,5,0.6209866504510233,0.6346153846153846,0.3940876820169955,0.38533686952319723
B,6,0.6209866504510233,0.6884615384615383,0.42752542473358907,0.40947422636670716
B,7,0.6209866504510233,0.8076923076923076,0.5015661407489034,0.5571344862841715
B,8,0.6209866504510233,0.8653846153846153,0.5373922936595393,0.5369873769174013
B,9,0.6209866504510233,1.0576923076923077,0.6568128033616593,0.6250814754929822
B,10,0.6209866504510233,1.2038461538461538,0.7475723907352704,0.772248738098366
B,11,0.6209866504510233,1.3307692307692307,0.8263899271386694,0.7897646176395388
B,12,0.6209866504510233,1.196153846153846,0.7427955703471855,0.7490614781973282
B,13,0.6209866504510233,1.1076923076923075,0.6878621358842103,0.629072032167817
B,14,0.6209866504510233,1.0269230769230768,0.63770552180932,0.5978599403423671
B,15,0.6209866504510233,0.9807692307692308,0.6090445994808114,0.6149504365568851
B,16,0.6209866504510233,1.0692307692307692,0.6639780339437864,0.6861320313436488
B,17,0.6209866504510233,1.1115384615384614,0.6902505460782528,0.6953915945139518
B,18,0.6209866504510233,1.1692307692307693,0.7260766989888888,0.7226072505172416
B,19,0.6209866504510233,1.1230769230769229,0.6974157766603799,0.6883826657927012
B,20,0.6209866504510233,1.1423076923076922,0.709357827630592,0.6650021679195691
B,21,0.6209866504510233,1.1230769230769229,0.6974157766603799,0.6758204504085387
B,22,0.6209866504510233,1.1115384615384614,0.6902505460782528,0.6764313829494591
B,23,0.6209866504510233,1.0038461538461538,0.6233750606450656,0.6550887274316332
C,0,0.8344110322249102,0.9980769230769232,0.8328063956244778,0.8431149443115317
C,1,0.8344110322249102,0.9865384615384616,0.8231785760218826,0.7702873713610006
C,2,0.8344110322249102,0.8846153846153846,0.738132836198959,0.7478553552808028
C,3,0.8344110322249102,0.7692307692307692,0.6418546401730078,0.6303021717605183
C,4,0.8344110322249102,0.6230769230769231,0.5199022585401364,0.4995945985309576
C,5,0.8344110322249102,0.6346153846153846,0.5295300781427315,0.5478803668079575
C,6,0.8344110322249102,0.6884615384615383,0.574459902954842,0.6053898886297204
C,7,0.8344110322249102,0.8076923076923076,0.6739473721816581,0.7018857757551441
C,8,0.8344110322249102,0.8653846153846153,0.7220864701946338,0.6969099444979546
C,9,0.8344110322249102,1.0576923076923077,0.8825501302378858,0.8732737589623493
C,10,0.8344110322249102,1.2038461538461538,1.0045025118707571,1.014440414812864
C,11,0.8344110322249102,1.3307692307692307,1.1104085274993034,1.1396748813129742
C,12,0.8344110322249102,1.196153846153846,0.998083965469027,0.9837087383336683
C,13,0.8344110322249102,1.1076923076923075,0.9242706818491312,0.9187009125492167
C,14,0.8344110322249102,1.0269230769230768,0.8568759446309654,0.8236858954107845
C,15,0.8344110322249102,0.9807692307692308,0.818364666220585,0.7824784674981649
C,16,0.8344110322249102,1.0692307692307692,0.8921779498404809,0.9165537245123069
C,17,0.8344110322249102,1.1115384615384614,0.9274799550499961,0.9681671559071208
C,18,0.8344110322249102,1.1692307692307693,0.975619053062972,0.973458749415562
C,19,0.8344110322249102,1.1230769230769229,0.9371077746525913,0.967213761589352
C,20,0.8344110322249102,1.1423076923076922,0.9531541406569166,0.9640032214083456
C,21,0.8344110322249102,1.1230769230769229,0.9371077746525913,0.9177541820144376
C,22,0.8344110322249102,1.1115384615384614,0.9274799550499961,0.9383218232152486
C,23,0.8344110322249102,1.0038461538461538,0.8376203054257753,0.8837614024197543
D,0,0.512544140406907,0.9980769230769232,0.5115584785984322,0.5104836974251337
D,1,0.512544140406907,0.9865384615384616,0.5056445077475833,0.5525838174220035
D,2,0.512544140406907,0.8846153846153846,0.4534044318984177,0.3748120787757254
